Date,Open,High,Low,1'st Digit,Digits,Frequency,Synthetic Probability,Probability by BenFord's Law,2'nd Digit,Digits,Frequency,Synthetic Probability,Probability by BenFord's Law
01-01-2016,45.553741,49.422543,44.872616,4,1,712,0.231544715,0.301029996,5,0,173,0.056260163,0.12
04-01-2016,48.768658,50.158157,45.907928,4,2,213,0.069268293,0.176091259,8,1,187,0.060813008,0.114
05-01-2016,46.670792,48.823151,45.880684,4,3,269,0.087479675,0.124938737,6,2,191,0.062113821,0.109
06-01-2016,47.951309,48.468964,46.480076,4,4,180,0.058536585,0.096910013,7,3,221,0.071869919,0.104
07-01-2016,46.262115,46.262115,42.502296,4,5,64,0.020813008,0.079181246,6,4,244,0.079349593,0.1
08-01-2016,44.6819,45.226803,43.946285,4,6,80,0.02601626,0.06694679,4,5,217,0.070569106,0.097
11-01-2016,44.136997,45.717213,42.992706,4,7,108,0.035121951,0.057991947,4,6,164,0.053333333,0.093
12-01-2016,44.872616,45.635475,43.319649,4,8,92,0.029918699,0.051152522,4,7,132,0.042926829,0.09
13-01-2016,44.572922,46.643543,42.066376,4,9,32,0.010406504,0.045757491,4,8,110,0.035772358,0.088
14-01-2016,43.019951,44.136997,42.148109,4,Total ,,,,3,9,111,0.036097561,0.085
15-01-2016,42.720257,43.483116,40.2682,4,,,,,2,Total ,,,
18-01-2016,40.213711,40.48616,37.162262,4,,,,,0,,,,
19-01-2016,38.987682,40.104729,38.088596,3,,,,,8,,,,
20-01-2016,38.44278,39.014927,36.753586,3,,,,,8,,,,
21-01-2016,38.361046,39.205643,37.053284,3,,,,,8,,,,
22-01-2016,38.497272,40.595142,38.497272,3,,,,,8,,,,
25-01-2016,40.567898,41.085552,39.614319,4,,,,,0,,,,
27-01-2016,40.75861,40.97657,39.668808,4,,,,,0,,,,
28-01-2016,40.131973,40.295444,38.987682,4,,,,,0,,,,
29-01-2016,39.260132,39.968506,38.252068,3,,,,,9,,,,
01-02-2016,40.077484,42.665768,39.99575,4,,,,,0,,,,
02-02-2016,40.431671,40.731365,38.796967,4,,,,,0,,,,
03-02-2016,40.404427,40.595142,38.796967,4,,,,,0,,,,
04-02-2016,39.614319,40.104729,38.769722,3,,,,,9,,,,
05-02-2016,39.396358,40.704121,39.123909,3,,,,,9,,,,
08-02-2016,40.567898,43.428627,39.941261,4,,,,,0,,,,
09-02-2016,40.567898,41.412495,39.505341,4,,,,,0,,,,
10-02-2016,40.322689,40.595142,39.123909,4,,,,,0,,,,
11-02-2016,39.505341,39.614319,36.263176,3,,,,,9,,,,
12-02-2016,37.543694,37.543694,33.511425,3,,,,,7,,,,
15-02-2016,35.8545,37.271244,35.14613,3,,,,,5,,,,
16-02-2016,36.181442,36.34491,34.138062,3,,,,,6,,,,
17-02-2016,34.410511,34.764698,32.966522,3,,,,,4,,,,
18-02-2016,34.873676,35.227863,33.375198,3,,,,,4,,,,
19-02-2016,34.110817,34.628471,33.702141,3,,,,,4,,,,
22-02-2016,34.764698,34.873676,33.647652,3,,,,,4,,,,
23-02-2016,34.219795,34.247044,32.830299,3,,,,,4,,,,
