Date,Highest Stock Price
01-01-2016,49.422543
04-01-2016,50.158157
05-01-2016,48.823151
06-01-2016,48.468964
07-01-2016,46.262115
08-01-2016,45.226803
11-01-2016,45.717213
12-01-2016,45.635475
13-01-2016,46.643543
14-01-2016,44.136997
15-01-2016,43.483116
18-01-2016,40.48616
19-01-2016,40.104729
20-01-2016,39.014927
21-01-2016,39.205643
22-01-2016,40.595142
25-01-2016,41.085552
28-01-2016,40.295444
29-01-2016,39.968506
01-02-2016,42.665768
02-02-2016,40.731365
03-02-2016,40.595142
04-02-2016,40.104729
05-02-2016,40.704121
08-02-2016,43.428627
09-02-2016,41.412495
10-02-2016,40.595142
11-02-2016,39.614319
12-02-2016,37.543694
15-02-2016,37.271244
16-02-2016,36.34491
17-02-2016,34.764698
18-02-2016,35.227863
19-02-2016,34.628471
22-02-2016,34.873676
23-02-2016,34.247044
24-02-2016,34.219795
25-02-2016,33.783875
26-02-2016,33.565914
29-02-2016,33.402447
01-03-2016,33.456936
02-03-2016,34.900925
03-03-2016,34.601227
04-03-2016,35.227863
08-03-2016,35.14613
09-03-2016,36.426647
10-03-2016,36.78083
11-03-2016,36.399403
14-03-2016,36.317665
15-03-2016,36.998795
16-03-2016,37.216751
17-03-2016,37.652676
18-03-2016,37.843391
21-03-2016,37.870636
22-03-2016,37.625427
23-03-2016,39.396358
28-03-2016,39.06942
29-03-2016,37.598183
30-03-2016,39.77779
31-03-2016,40.813103
01-04-2016,42.338825
04-04-2016,44.600166
05-04-2016,44.300468
06-04-2016,41.603207
07-04-2016,42.066376
08-04-2016,42.992706
11-04-2016,43.810059
12-04-2016,44.245979
13-04-2016,44.46394
18-04-2016,45.662724
20-04-2016,46.316605
21-04-2016,46.316605
22-04-2016,45.417519
25-04-2016,45.472008
26-04-2016,46.098644
27-04-2016,47.297424
28-04-2016,47.106712
29-04-2016,48.38723
02-05-2016,48.305492
03-05-2016,48.114777
04-05-2016,47.024975
05-05-2016,44.028019
06-05-2016,42.665768
09-05-2016,42.720257
10-05-2016,42.393314
11-05-2016,41.766678
12-05-2016,41.466984
13-05-2016,41.930149
16-05-2016,41.739433
17-05-2016,41.575962
18-05-2016,41.684944
19-05-2016,40.840347
20-05-2016,39.478092
23-05-2016,38.905949
24-05-2016,38.769722
25-05-2016,39.014927
26-05-2016,40.75861
27-05-2016,41.412495
30-05-2016,41.003819
31-05-2016,41.058308
01-06-2016,42.120865
02-06-2016,41.630451
03-06-2016,41.793922
06-06-2016,39.723297
07-06-2016,39.99575
08-06-2016,41.140041
09-06-2016,41.276268
10-06-2016,41.358002
13-06-2016,40.513405
14-06-2016,43.455872
15-06-2016,43.810059
16-06-2016,43.483116
17-06-2016,44.245979
20-06-2016,44.028019
21-06-2016,43.97353
22-06-2016,43.374138
23-06-2016,43.210667
24-06-2016,41.330757
27-06-2016,41.466984
28-06-2016,44.95435
29-06-2016,45.689968
30-06-2016,47.815083
01-07-2016,47.542633
04-07-2016,47.324673
05-07-2016,47.106712
07-07-2016,46.534565
08-07-2016,45.771702
11-07-2016,45.935173
12-07-2016,46.234867
13-07-2016,46.56181
