Date,Opening Stock Price
01-01-2016,45.553741
04-01-2016,48.768658
05-01-2016,46.670792
06-01-2016,47.951309
07-01-2016,46.262115
08-01-2016,44.6819
11-01-2016,44.136997
12-01-2016,44.872616
13-01-2016,44.572922
14-01-2016,43.019951
15-01-2016,42.720257
18-01-2016,40.213711
19-01-2016,38.987682
20-01-2016,38.44278
21-01-2016,38.361046
22-01-2016,38.497272
25-01-2016,40.567898
27-01-2016,40.75861
28-01-2016,40.131973
29-01-2016,39.260132
01-02-2016,40.077484
02-02-2016,40.431671
03-02-2016,40.404427
04-02-2016,39.614319
05-02-2016,39.396358
08-02-2016,40.567898
09-02-2016,40.567898
10-02-2016,40.322689
11-02-2016,39.505341
12-02-2016,37.543694
15-02-2016,35.8545
16-02-2016,36.181442
17-02-2016,34.410511
18-02-2016,34.873676
19-02-2016,34.110817
22-02-2016,34.764698
23-02-2016,34.219795
24-02-2016,33.075504
25-02-2016,33.647652
26-02-2016,33.26622
29-02-2016,33.075504
01-03-2016,32.149174
02-03-2016,33.783875
03-03-2016,34.328777
04-03-2016,34.328777
08-03-2016,34.601227
09-03-2016,34.601227
10-03-2016,36.535625
11-03-2016,35.527561
14-03-2016,35.990726
15-03-2016,36.126949
16-03-2016,36.998795
17-03-2016,36.508381
18-03-2016,36.808079
21-03-2016,37.107773
22-03-2016,37.516449
23-03-2016,37.352978
28-03-2016,38.933193
29-03-2016,37.243999
30-03-2016,37.080528
31-03-2016,39.668808
01-04-2016,40.077484
04-04-2016,43.265156
05-04-2016,44.300468
06-04-2016,40.704121
07-04-2016,41.684944
08-04-2016,40.922081
11-04-2016,42.665768
12-04-2016,43.592098
13-04-2016,43.837303
18-04-2016,44.273224
20-04-2016,45.417519
21-04-2016,46.316605
22-04-2016,44.95435
25-04-2016,44.709145
26-04-2016,44.6819
27-04-2016,45.880684
28-04-2016,46.970486
29-04-2016,45.771702
02-05-2016,47.024975
03-05-2016,47.406406
04-05-2016,46.915997
05-05-2016,42.774746
06-05-2016,42.447803
09-05-2016,42.09362
10-05-2016,42.229843
11-05-2016,40.295444
12-05-2016,40.704121
13-05-2016,41.031063
16-05-2016,40.2682
17-05-2016,41.575962
18-05-2016,40.322689
19-05-2016,40.840347
20-05-2016,39.396358
23-05-2016,37.870636
24-05-2016,37.925125
25-05-2016,38.742477
26-05-2016,38.960438
27-05-2016,40.431671
30-05-2016,40.2682
31-05-2016,41.058308
01-06-2016,39.77779
02-06-2016,41.466984
03-06-2016,41.412495
06-06-2016,39.260132
07-06-2016,39.723297
08-06-2016,39.77779
09-06-2016,40.922081
10-06-2016,40.622387
13-06-2016,39.886768
14-06-2016,39.941261
15-06-2016,43.101688
16-06-2016,43.047195
17-06-2016,43.210667
20-06-2016,42.502296
21-06-2016,43.564854
22-06-2016,43.210667
23-06-2016,42.475052
24-06-2016,40.867592
27-06-2016,40.649632
28-06-2016,41.249023
29-06-2016,44.818127
30-06-2016,45.553741
01-07-2016,47.433651
04-07-2016,46.316605
05-07-2016,46.643543
07-07-2016,46.0714
08-07-2016,45.608231
11-07-2016,45.226803
12-07-2016,45.935173
13-07-2016,45.989662
14-07-2016,44.89986
15-07-2016,44.872616
18-07-2016,44.409451
19-07-2016,44.028019
20-07-2016,43.946285
21-07-2016,45.335781
22-07-2016,43.810059
25-07-2016,44.409451
26-07-2016,44.245979
27-07-2016,45.281292
28-07-2016,45.281292
29-07-2016,43.97353
01-08-2016,44.19149
02-08-2016,42.229843
03-08-2016,42.229843
04-08-2016,41.276268
05-08-2016,42.011883
08-08-2016,42.338825
09-08-2016,42.801991
10-08-2016,42.393314
11-08-2016,43.592098
12-08-2016,41.466984
16-08-2016,40.97657
17-08-2016,40.322689
18-08-2016,40.704121
19-08-2016,40.813103
22-08-2016,41.930149
23-08-2016,40.813103
24-08-2016,40.431671
25-08-2016,40.867592
26-08-2016,39.968506
29-08-2016,38.470024
30-08-2016,39.77779
31-08-2016,40.131973
01-09-2016,39.723297
02-09-2016,38.606251
06-09-2016,38.987682
07-09-2016,39.450848
08-09-2016,39.641563
09-09-2016,40.731365
12-09-2016,39.505341
14-09-2016,38.17033
15-09-2016,38.960438
16-09-2016,38.960438
19-09-2016,37.870636
20-09-2016,38.252068
21-09-2016,38.633495
22-09-2016,39.014927
23-09-2016,39.450848
26-09-2016,38.905949
27-09-2016,38.497272
28-09-2016,38.415535
29-09-2016,39.06942
30-09-2016,35.309601
03-10-2016,35.963482
04-10-2016,36.78083
05-10-2016,37.271244
06-10-2016,37.053284
07-10-2016,36.590118
10-10-2016,37.243999
13-10-2016,37.570938
14-10-2016,36.944302
17-10-2016,36.998795
18-10-2016,37.026039
19-10-2016,37.543694
20-10-2016,37.870636
